cd /home/wu.qife/CLIP/Experiments
CUDA_VISIBLE_DEVICES=0 python distill_train.py -a 0.1 -t 4 -e 160 --teacher ViT-L/14 --mi 60 90 120 150 --project_name vitl14_1

[001945 44330 2022/05/12-00:19:45] Warning! Git not found under this project. Highly recommended to use Git to manage code.
('alpha': 0.1) ('batch_size': 256) ('cache_ignore': ) ('CodeID': GitNotFound) ('debug': False) ('distill_temp': 4) ('epoch': 160) ('experiments_dir': None) ('lr': 0.1) ('mi': [60, 90, 120, 150]) ('momentum': 0.9) ('note': ) ('path': None) ('project_name': vitl14_1) ('screen_print': False) ('tnet': ViT-L/14) ('weight_decay': 0.0005) 

[001945 44330 2022/05/12-00:19:45] ==> Caching various config files to 'Experiments/vitl14_1_SERVER-20220512-001945/.caches'
[001945 44330 2022/05/12-00:19:45] ==> Caching done (time: 0.01s)
[001945 44330 2022/05/12-00:19:51] Files already downloaded and verified
[001945 44330 2022/05/12-00:19:51] Files already downloaded and verified
[001945 44330 2022/05/12-00:19:52] Epoch	Loss	Accuracy
[001945 44330 2022/05/12-00:22:36] 0	1.70084	0.06216
[001945 44330 2022/05/12-00:25:20] 1	1.53194	0.10128
[001945 44330 2022/05/12-00:28:05] 2	1.40673	0.14198
[001945 44330 2022/05/12-00:30:49] 3	1.31054	0.17788
[001945 44330 2022/05/12-00:33:33] 4	1.23014	0.21412
[001945 44330 2022/05/12-00:36:17] 5	1.16866	0.24268
[001945 44330 2022/05/12-00:39:02] 6	1.12176	0.26838
[001945 44330 2022/05/12-00:41:47] 7	1.07662	0.28964
[001945 44330 2022/05/12-00:44:31] 8	1.04788	0.30956
[001945 44330 2022/05/12-00:47:15] 9	1.00915	0.32814
[001945 44330 2022/05/12-00:49:59] 10	0.98673	0.34486
[001945 44330 2022/05/12-00:52:43] 11	0.96636	0.35964
[001945 44330 2022/05/12-00:55:27] 12	0.94394	0.36838
[001945 44330 2022/05/12-00:58:12] 13	0.92313	0.38542
[001945 44330 2022/05/12-01:00:57] 14	0.90956	0.39346
[001945 44330 2022/05/12-01:03:42] 15	0.89133	0.40448
[001945 44330 2022/05/12-01:06:27] 16	0.88808	0.40874
[001945 44330 2022/05/12-01:09:11] 17	0.87875	0.41676
[001945 44330 2022/05/12-01:11:56] 18	0.87155	0.42060
[001945 44330 2022/05/12-01:14:39] 19	0.85886	0.42544
[001945 44330 2022/05/12-01:17:24] 20	0.85524	0.43024
[001945 44330 2022/05/12-01:20:07] 21	0.84303	0.43620
[001945 44330 2022/05/12-01:22:52] 22	0.84385	0.44344
[001945 44330 2022/05/12-01:25:36] 23	0.83749	0.44710
[001945 44330 2022/05/12-01:28:20] 24	0.82491	0.45418
[001945 44330 2022/05/12-01:31:05] 25	0.82862	0.45542
[001945 44330 2022/05/12-01:33:48] 26	0.82348	0.45482
[001945 44330 2022/05/12-01:36:33] 27	0.81863	0.45686
[001945 44330 2022/05/12-01:39:16] 28	0.81146	0.46476
[001945 44330 2022/05/12-01:42:01] 29	0.81321	0.46394
[001945 44330 2022/05/12-01:44:45] 30	0.80674	0.47158
[001945 44330 2022/05/12-01:47:30] 31	0.80677	0.47142
[001945 44330 2022/05/12-01:50:14] 32	0.80181	0.47090
[001945 44330 2022/05/12-01:52:57] 33	0.80017	0.47396
[001945 44330 2022/05/12-01:55:42] 34	0.79758	0.47676
[001945 44330 2022/05/12-01:58:26] 35	0.79224	0.48140
[001945 44330 2022/05/12-02:01:12] 36	0.78793	0.47784
[001945 44330 2022/05/12-02:03:57] 37	0.78851	0.48526
[001945 44330 2022/05/12-02:06:42] 38	0.78753	0.48110
[001945 44330 2022/05/12-02:09:27] 39	0.77854	0.48916
[001945 44330 2022/05/12-02:12:11] 40	0.78298	0.48648
[001945 44330 2022/05/12-02:14:55] 41	0.77958	0.48482
[001945 44330 2022/05/12-02:17:40] 42	0.78257	0.48770
[001945 44330 2022/05/12-02:20:25] 43	0.77532	0.48768
[001945 44330 2022/05/12-02:23:09] 44	0.77226	0.49068
[001945 44330 2022/05/12-02:25:53] 45	0.77673	0.49180
[001945 44330 2022/05/12-02:28:37] 46	0.77170	0.49538
[001945 44330 2022/05/12-02:31:22] 47	0.77008	0.49500
[001945 44330 2022/05/12-02:34:07] 48	0.77209	0.49324
[001945 44330 2022/05/12-02:36:52] 49	0.77150	0.49686
[001945 44330 2022/05/12-02:39:36] 50	0.76978	0.49722
[001945 44330 2022/05/12-02:42:21] 51	0.76656	0.49434
[001945 44330 2022/05/12-02:45:06] 52	0.76624	0.50034
[001945 44330 2022/05/12-02:47:50] 53	0.76257	0.50106
[001945 44330 2022/05/12-02:50:34] 54	0.75942	0.50196
[001945 44330 2022/05/12-02:53:19] 55	0.76505	0.50032
[001945 44330 2022/05/12-02:56:04] 56	0.76023	0.50162
[001945 44330 2022/05/12-02:58:48] 57	0.76182	0.50512
[001945 44330 2022/05/12-03:01:32] 58	0.76211	0.50116
[001945 44330 2022/05/12-03:04:17] 59	0.76057	0.50344
[001945 44330 2022/05/12-03:07:02] 60	0.67069	0.56082
[001945 44330 2022/05/12-03:09:46] 61	0.63695	0.58672
[001945 44330 2022/05/12-03:12:29] 62	0.62566	0.59596
[001945 44330 2022/05/12-03:15:13] 63	0.61660	0.60006
[001945 44330 2022/05/12-03:17:58] 64	0.61128	0.60350
[001945 44330 2022/05/12-03:20:42] 65	0.60574	0.60932
[001945 44330 2022/05/12-03:23:26] 66	0.60119	0.61222
[001945 44330 2022/05/12-03:26:10] 67	0.59909	0.61492
[001945 44330 2022/05/12-03:28:54] 68	0.59335	0.61758
[001945 44330 2022/05/12-03:31:37] 69	0.59234	0.62208
[001945 44330 2022/05/12-03:34:21] 70	0.58636	0.62486
[001945 44330 2022/05/12-03:37:04] 71	0.58542	0.62690
[001945 44330 2022/05/12-03:39:48] 72	0.58189	0.62840
[001945 44330 2022/05/12-03:42:33] 73	0.57801	0.63266
[001945 44330 2022/05/12-03:45:17] 74	0.57673	0.63088
[001945 44330 2022/05/12-03:48:01] 75	0.57439	0.63196
[001945 44330 2022/05/12-03:50:45] 76	0.57279	0.63678
[001945 44330 2022/05/12-03:53:30] 77	0.57023	0.63656
[001945 44330 2022/05/12-03:56:13] 78	0.56984	0.63666
[001945 44330 2022/05/12-03:58:58] 79	0.56590	0.64162
[001945 44330 2022/05/12-04:01:42] 80	0.56776	0.63990
[001945 44330 2022/05/12-04:04:26] 81	0.56238	0.64234
[001945 44330 2022/05/12-04:07:11] 82	0.56146	0.64574
[001945 44330 2022/05/12-04:09:55] 83	0.56090	0.64612
[001945 44330 2022/05/12-04:12:38] 84	0.55811	0.64814
[001945 44330 2022/05/12-04:15:23] 85	0.55841	0.64896
[001945 44330 2022/05/12-04:18:08] 86	0.55672	0.64842
[001945 44330 2022/05/12-04:20:53] 87	0.55457	0.64916
[001945 44330 2022/05/12-04:23:37] 88	0.55478	0.65126
[001945 44330 2022/05/12-04:26:21] 89	0.55401	0.65462
[001945 44330 2022/05/12-04:29:05] 90	0.54212	0.66200
[001945 44330 2022/05/12-04:31:49] 91	0.53455	0.66694
[001945 44330 2022/05/12-04:34:32] 92	0.53395	0.66794
[001945 44330 2022/05/12-04:37:18] 93	0.53327	0.67008
[001945 44330 2022/05/12-04:40:03] 94	0.53111	0.67088
[001945 44330 2022/05/12-04:42:48] 95	0.53280	0.66928
[001945 44330 2022/05/12-04:45:34] 96	0.52958	0.66926
[001945 44330 2022/05/12-04:48:18] 97	0.52881	0.67198
[001945 44330 2022/05/12-04:51:02] 98	0.52916	0.67016
[001945 44330 2022/05/12-04:53:47] 99	0.52865	0.67066
[001945 44330 2022/05/12-04:56:32] 100	0.52823	0.67032
[001945 44330 2022/05/12-04:59:16] 101	0.52764	0.66898
[001945 44330 2022/05/12-05:02:01] 102	0.52884	0.67228
[001945 44330 2022/05/12-05:04:46] 103	0.52632	0.67192
[001945 44330 2022/05/12-05:07:29] 104	0.52528	0.67556
[001945 44330 2022/05/12-05:10:14] 105	0.52619	0.67294
[001945 44330 2022/05/12-05:12:59] 106	0.52426	0.67268
[001945 44330 2022/05/12-05:15:44] 107	0.52664	0.67026
[001945 44330 2022/05/12-05:18:27] 108	0.52475	0.67656
[001945 44330 2022/05/12-05:21:13] 109	0.52496	0.67408
[001945 44330 2022/05/12-05:23:58] 110	0.52488	0.67368
[001945 44330 2022/05/12-05:26:43] 111	0.52405	0.67378
[001945 44330 2022/05/12-05:29:28] 112	0.52366	0.67724
[001945 44330 2022/05/12-05:32:12] 113	0.52385	0.67634
[001945 44330 2022/05/12-05:34:56] 114	0.52508	0.67246
[001945 44330 2022/05/12-05:37:40] 115	0.52142	0.67998
[001945 44330 2022/05/12-05:40:25] 116	0.52232	0.67564
[001945 44330 2022/05/12-05:43:09] 117	0.52324	0.67798
[001945 44330 2022/05/12-05:45:52] 118	0.52106	0.67834
[001945 44330 2022/05/12-05:48:37] 119	0.52062	0.67748
[001945 44330 2022/05/12-05:51:21] 120	0.52071	0.68178
[001945 44330 2022/05/12-05:54:05] 121	0.51975	0.67642
[001945 44330 2022/05/12-05:56:49] 122	0.51905	0.67806
[001945 44330 2022/05/12-05:59:34] 123	0.51925	0.68036
[001945 44330 2022/05/12-06:02:18] 124	0.51940	0.67868
[001945 44330 2022/05/12-06:05:01] 125	0.51900	0.67952
[001945 44330 2022/05/12-06:07:45] 126	0.51783	0.68146
[001945 44330 2022/05/12-06:10:29] 127	0.51966	0.68032
[001945 44330 2022/05/12-06:13:14] 128	0.51860	0.67968
[001945 44330 2022/05/12-06:15:57] 129	0.52002	0.67928
[001945 44330 2022/05/12-06:18:42] 130	0.51828	0.68038
[001945 44330 2022/05/12-06:21:25] 131	0.51888	0.67800
[001945 44330 2022/05/12-06:24:10] 132	0.51838	0.68014
