cd /home/wu.qife/CLIP/Experiments
CUDA_VISIBLE_DEVICES=0 python distill_train.py -a 0.1 -t 20 -e 160 --teacher ViT-L/14 --mi 60 90 120 150 --project_name vitl14_4

[220947 39388 2022/05/15-22:09:47] Warning! Git not found under this project. Highly recommended to use Git to manage code.
('alpha': 0.1) ('batch_size': 256) ('cache_ignore': ) ('CodeID': GitNotFound) ('debug': False) ('distill_temp': 20) ('epoch': 160) ('experiments_dir': None) ('lr': 0.1) ('mi': [60, 90, 120, 150]) ('momentum': 0.9) ('note': ) ('path': None) ('project_name': vitl14_4) ('screen_print': False) ('tnet': ViT-L/14) ('weight_decay': 0.0005) 

[220947 39388 2022/05/15-22:09:47] ==> Caching various config files to 'Experiments/vitl14_4_SERVER-20220515-220947/.caches'
[220947 39388 2022/05/15-22:09:48] ==> Caching done (time: 0.01s)
[220947 39388 2022/05/15-22:09:54] Files already downloaded and verified
[220947 39388 2022/05/15-22:09:55] Files already downloaded and verified
[220947 39388 2022/05/15-22:09:56] Epoch	Loss	Accuracy
[220947 39388 2022/05/15-22:12:44] 0	1.33324	0.05956
[220947 39388 2022/05/15-22:15:28] 1	1.20025	0.10054
[220947 39388 2022/05/15-22:18:24] 2	1.11449	0.13872
[220947 39388 2022/05/15-22:21:27] 3	1.05323	0.17266
[220947 39388 2022/05/15-22:24:30] 4	1.00154	0.20746
[220947 39388 2022/05/15-22:27:36] 5	0.95786	0.23766
[220947 39388 2022/05/15-22:30:41] 6	0.92703	0.26510
[220947 39388 2022/05/15-22:33:25] 7	0.89580	0.28824
[220947 39388 2022/05/15-22:36:10] 8	0.87529	0.30946
[220947 39388 2022/05/15-22:38:54] 9	0.84738	0.32772
[220947 39388 2022/05/15-22:41:38] 10	0.83182	0.34480
[220947 39388 2022/05/15-22:44:23] 11	0.81554	0.36054
[220947 39388 2022/05/15-22:47:25] 12	0.79818	0.37146
[220947 39388 2022/05/15-22:50:26] 13	0.78209	0.38948
[220947 39388 2022/05/15-22:53:27] 14	0.77173	0.40226
[220947 39388 2022/05/15-22:56:31] 15	0.75819	0.41298
[220947 39388 2022/05/15-22:59:33] 16	0.75008	0.42354
[220947 39388 2022/05/15-23:02:17] 17	0.74264	0.43280
[220947 39388 2022/05/15-23:05:02] 18	0.73559	0.43766
[220947 39388 2022/05/15-23:08:01] 19	0.72714	0.44652
[220947 39388 2022/05/15-23:11:05] 20	0.72238	0.45062
[220947 39388 2022/05/15-23:14:06] 21	0.71589	0.45962
[220947 39388 2022/05/15-23:17:11] 22	0.71254	0.46688
[220947 39388 2022/05/15-23:20:13] 23	0.70925	0.47074
[220947 39388 2022/05/15-23:23:15] 24	0.70162	0.47584
[220947 39388 2022/05/15-23:26:20] 25	0.69990	0.48166
[220947 39388 2022/05/15-23:29:25] 26	0.69598	0.48048
[220947 39388 2022/05/15-23:32:26] 27	0.69173	0.48728
[220947 39388 2022/05/15-23:35:31] 28	0.68902	0.49192
[220947 39388 2022/05/15-23:38:36] 29	0.68479	0.49766
[220947 39388 2022/05/15-23:41:37] 30	0.68128	0.50010
[220947 39388 2022/05/15-23:44:21] 31	0.68174	0.50342
[220947 39388 2022/05/15-23:47:05] 32	0.67759	0.50300
[220947 39388 2022/05/15-23:49:49] 33	0.67273	0.50910
[220947 39388 2022/05/15-23:52:35] 34	0.67381	0.50686
[220947 39388 2022/05/15-23:55:36] 35	0.67026	0.51562
[220947 39388 2022/05/15-23:58:20] 36	0.66793	0.51078
[220947 39388 2022/05/16-00:01:05] 37	0.66666	0.51674
[220947 39388 2022/05/16-00:03:50] 38	0.66735	0.51500
[220947 39388 2022/05/16-00:06:36] 39	0.65922	0.52186
