cd /home/wu.qife/CLIP/Experiments
CUDA_VISIBLE_DEVICES=0 python distill_train.py -a 0.1 -t 1 -e 160 --teacher ViT-L/14 --mi 60 90 120 150 --project_name vitl14_2

[192430 61923 2022/05/12-19:24:30] Warning! Git not found under this project. Highly recommended to use Git to manage code.
('alpha': 0.1) ('batch_size': 256) ('cache_ignore': ) ('CodeID': GitNotFound) ('debug': False) ('distill_temp': 1) ('epoch': 160) ('experiments_dir': None) ('lr': 0.1) ('mi': [60, 90, 120, 150]) ('momentum': 0.9) ('note': ) ('path': None) ('project_name': vitl14_2) ('screen_print': False) ('tnet': ViT-L/14) ('weight_decay': 0.0005) 

[192430 61923 2022/05/12-19:24:31] ==> Caching various config files to 'Experiments/vitl14_2_SERVER-20220512-192430/.caches'
[192430 61923 2022/05/12-19:24:31] ==> Caching done (time: 0.01s)
[192430 61923 2022/05/12-19:24:45] Files already downloaded and verified
[192430 61923 2022/05/12-19:24:45] Files already downloaded and verified
[192430 61923 2022/05/12-19:24:46] Epoch	Loss	Accuracy
[192430 61923 2022/05/12-19:27:31] 0	1.98979	0.06926
[192430 61923 2022/05/12-19:30:15] 1	1.74817	0.11966
[192430 61923 2022/05/12-19:32:59] 2	1.57943	0.16526
[192430 61923 2022/05/12-19:35:43] 3	1.44295	0.20386
[192430 61923 2022/05/12-19:38:27] 4	1.32196	0.24214
[192430 61923 2022/05/12-19:41:11] 5	1.23710	0.27318
[192430 61923 2022/05/12-19:43:55] 6	1.17726	0.29898
[192430 61923 2022/05/12-19:46:40] 7	1.12420	0.31768
[192430 61923 2022/05/12-19:49:24] 8	1.08323	0.33580
[192430 61923 2022/05/12-19:52:08] 9	1.04113	0.34872
[192430 61923 2022/05/12-19:54:52] 10	1.01724	0.36390
[192430 61923 2022/05/12-19:57:37] 11	0.99228	0.37258
[192430 61923 2022/05/12-20:00:21] 12	0.96564	0.38184
[192430 61923 2022/05/12-20:03:06] 13	0.94809	0.39240
[192430 61923 2022/05/12-20:05:49] 14	0.93792	0.39912
[192430 61923 2022/05/12-20:08:35] 15	0.92176	0.40462
[192430 61923 2022/05/12-20:11:19] 16	0.91511	0.41094
[192430 61923 2022/05/12-20:14:03] 17	0.90657	0.41052
[192430 61923 2022/05/12-20:16:47] 18	0.90047	0.41576
[192430 61923 2022/05/12-20:19:31] 19	0.88693	0.41870
[192430 61923 2022/05/12-20:22:15] 20	0.88616	0.42190
[192430 61923 2022/05/12-20:25:00] 21	0.87521	0.42336
[192430 61923 2022/05/12-20:27:43] 22	0.87574	0.42914
[192430 61923 2022/05/12-20:30:27] 23	0.87129	0.43284
[192430 61923 2022/05/12-20:33:12] 24	0.86054	0.43378
[192430 61923 2022/05/12-20:35:57] 25	0.86113	0.43740
[192430 61923 2022/05/12-20:38:41] 26	0.85097	0.43640
[192430 61923 2022/05/12-20:41:26] 27	0.85211	0.43788
[192430 61923 2022/05/12-20:44:10] 28	0.84709	0.44010
[192430 61923 2022/05/12-20:46:54] 29	0.84643	0.44332
[192430 61923 2022/05/12-20:49:38] 30	0.83601	0.44690
[192430 61923 2022/05/12-20:52:22] 31	0.83661	0.44814
[192430 61923 2022/05/12-20:55:07] 32	0.83607	0.44744
[192430 61923 2022/05/12-20:57:51] 33	0.83694	0.44978
[192430 61923 2022/05/12-21:00:35] 34	0.82752	0.45232
[192430 61923 2022/05/12-21:03:20] 35	0.82517	0.45384
[192430 61923 2022/05/12-21:06:04] 36	0.82054	0.45104
[192430 61923 2022/05/12-21:08:50] 37	0.82355	0.45560
[192430 61923 2022/05/12-21:11:34] 38	0.82037	0.45346
[192430 61923 2022/05/12-21:14:20] 39	0.81648	0.45736
[192430 61923 2022/05/12-21:17:04] 40	0.81792	0.45292
