cd /home/wu.qife/CLIP/Experiments
CUDA_VISIBLE_DEVICES=0 python distill_train.py -a 0.1 -t 10 -e 160 --teacher ViT-L/14 --mi 60 90 120 150 --project_name vitl14_3

[101900 22163 2022/05/13-10:19:00] Warning! Git not found under this project. Highly recommended to use Git to manage code.
('alpha': 0.1) ('batch_size': 256) ('cache_ignore': ) ('CodeID': GitNotFound) ('debug': False) ('distill_temp': 10) ('epoch': 160) ('experiments_dir': None) ('lr': 0.1) ('mi': [60, 90, 120, 150]) ('momentum': 0.9) ('note': ) ('path': None) ('project_name': vitl14_3) ('screen_print': False) ('tnet': ViT-L/14) ('weight_decay': 0.0005) 

[101900 22163 2022/05/13-10:19:00] ==> Caching various config files to 'Experiments/vitl14_3_SERVER-20220513-101900/.caches'
[101900 22163 2022/05/13-10:19:00] ==> Caching done (time: 0.01s)
[101900 22163 2022/05/13-10:19:07] Files already downloaded and verified
[101900 22163 2022/05/13-10:19:08] Files already downloaded and verified
[101900 22163 2022/05/13-10:19:09] Epoch	Loss	Accuracy
[101900 22163 2022/05/13-10:21:54] 0	1.40194	0.05998
[101900 22163 2022/05/13-10:24:38] 1	1.25119	0.09876
[101900 22163 2022/05/13-10:27:23] 2	1.16158	0.13910
[101900 22163 2022/05/13-10:30:09] 3	1.09810	0.17242
[101900 22163 2022/05/13-10:32:54] 4	1.04176	0.20662
[101900 22163 2022/05/13-10:35:39] 5	0.99586	0.24024
[101900 22163 2022/05/13-10:38:23] 6	0.96285	0.26536
[101900 22163 2022/05/13-10:41:07] 7	0.93127	0.28830
[101900 22163 2022/05/13-10:43:52] 8	0.90845	0.30820
[101900 22163 2022/05/13-10:46:38] 9	0.87777	0.32676
[101900 22163 2022/05/13-10:49:23] 10	0.86140	0.34466
[101900 22163 2022/05/13-10:52:07] 11	0.84390	0.35902
[101900 22163 2022/05/13-10:54:51] 12	0.82539	0.36980
[101900 22163 2022/05/13-10:57:37] 13	0.80898	0.38634
[101900 22163 2022/05/13-11:00:22] 14	0.79906	0.39890
[101900 22163 2022/05/13-11:03:06] 15	0.78294	0.41108
[101900 22163 2022/05/13-11:05:51] 16	0.77565	0.42220
[101900 22163 2022/05/13-11:08:37] 17	0.76812	0.42808
[101900 22163 2022/05/13-11:11:22] 18	0.76339	0.43310
[101900 22163 2022/05/13-11:14:08] 19	0.75174	0.44254
[101900 22163 2022/05/13-11:16:54] 20	0.74650	0.44632
[101900 22163 2022/05/13-11:19:41] 21	0.74002	0.45366
[101900 22163 2022/05/13-11:22:26] 22	0.73718	0.46142
[101900 22163 2022/05/13-11:25:13] 23	0.73353	0.46510
[101900 22163 2022/05/13-11:28:00] 24	0.72345	0.47330
[101900 22163 2022/05/13-11:30:45] 25	0.72379	0.47690
[101900 22163 2022/05/13-11:33:30] 26	0.71915	0.47456
[101900 22163 2022/05/13-11:36:15] 27	0.71287	0.48224
[101900 22163 2022/05/13-11:39:04] 28	0.71102	0.48664
[101900 22163 2022/05/13-11:41:56] 29	0.70809	0.48994
[101900 22163 2022/05/13-11:44:41] 30	0.70444	0.49564
[101900 22163 2022/05/13-11:47:25] 31	0.70321	0.49870
[101900 22163 2022/05/13-11:50:09] 32	0.70162	0.49780
[101900 22163 2022/05/13-11:52:54] 33	0.69738	0.50236
[101900 22163 2022/05/13-11:55:48] 34	0.69653	0.50068
[101900 22163 2022/05/13-11:58:35] 35	0.69300	0.50654
[101900 22163 2022/05/13-12:01:27] 36	0.68720	0.50626
[101900 22163 2022/05/13-12:04:12] 37	0.68971	0.50808
[101900 22163 2022/05/13-12:06:57] 38	0.68772	0.50886
[101900 22163 2022/05/13-12:09:44] 39	0.68230	0.51384
[101900 22163 2022/05/13-12:12:27] 40	0.68513	0.51326
[101900 22163 2022/05/13-12:15:10] 41	0.67927	0.51590
[101900 22163 2022/05/13-12:17:55] 42	0.68203	0.51612
[101900 22163 2022/05/13-12:20:40] 43	0.67724	0.51928
[101900 22163 2022/05/13-12:23:25] 44	0.67653	0.51918
[101900 22163 2022/05/13-12:26:10] 45	0.67671	0.52084
[101900 22163 2022/05/13-12:28:56] 46	0.67401	0.52380
[101900 22163 2022/05/13-12:31:42] 47	0.67215	0.52368
[101900 22163 2022/05/13-12:34:28] 48	0.67315	0.52464
[101900 22163 2022/05/13-12:37:16] 49	0.67436	0.52566
[101900 22163 2022/05/13-12:40:02] 50	0.67366	0.52588
[101900 22163 2022/05/13-12:42:47] 51	0.66900	0.52482
[101900 22163 2022/05/13-12:45:31] 52	0.66893	0.53076
[101900 22163 2022/05/13-12:48:16] 53	0.66819	0.53098
[101900 22163 2022/05/13-12:51:00] 54	0.66246	0.53338
[101900 22163 2022/05/13-12:53:45] 55	0.66890	0.53126
[101900 22163 2022/05/13-12:56:29] 56	0.66331	0.53190
[101900 22163 2022/05/13-12:59:14] 57	0.66593	0.53440
[101900 22163 2022/05/13-13:01:59] 58	0.66568	0.53216
[101900 22163 2022/05/13-13:04:44] 59	0.66537	0.53298
[101900 22163 2022/05/13-13:07:43] 60	0.59231	0.59344
[101900 22163 2022/05/13-13:10:27] 61	0.56479	0.62310
[101900 22163 2022/05/13-13:13:25] 62	0.55602	0.63312
[101900 22163 2022/05/13-13:16:09] 63	0.54992	0.63486
[101900 22163 2022/05/13-13:19:08] 64	0.54455	0.64296
[101900 22163 2022/05/13-13:21:53] 65	0.53969	0.64830
[101900 22163 2022/05/13-13:24:38] 66	0.53640	0.65316
[101900 22163 2022/05/13-13:27:23] 67	0.53405	0.65514
[101900 22163 2022/05/13-13:30:09] 68	0.53025	0.65718
[101900 22163 2022/05/13-13:32:53] 69	0.52949	0.66188
[101900 22163 2022/05/13-13:35:39] 70	0.52465	0.66574
[101900 22163 2022/05/13-13:38:26] 71	0.52355	0.66868
[101900 22163 2022/05/13-13:41:13] 72	0.52110	0.66868
[101900 22163 2022/05/13-13:43:57] 73	0.51741	0.67294
[101900 22163 2022/05/13-13:46:42] 74	0.51720	0.67186
[101900 22163 2022/05/13-13:49:26] 75	0.51511	0.67600
[101900 22163 2022/05/13-13:52:12] 76	0.51260	0.67882
[101900 22163 2022/05/13-13:54:57] 77	0.51077	0.67840
[101900 22163 2022/05/13-13:57:42] 78	0.51180	0.68038
[101900 22163 2022/05/13-14:00:29] 79	0.50859	0.68358
[101900 22163 2022/05/13-14:03:14] 80	0.50878	0.68206
[101900 22163 2022/05/13-14:06:01] 81	0.50553	0.68756
[101900 22163 2022/05/13-14:08:50] 82	0.50427	0.68702
[101900 22163 2022/05/13-14:11:36] 83	0.50304	0.68778
[101900 22163 2022/05/13-14:14:20] 84	0.50136	0.69094
[101900 22163 2022/05/13-14:17:05] 85	0.50199	0.69264
[101900 22163 2022/05/13-14:19:50] 86	0.50050	0.69166
[101900 22163 2022/05/13-14:22:34] 87	0.49893	0.69288
[101900 22163 2022/05/13-14:25:20] 88	0.49809	0.69552
[101900 22163 2022/05/13-14:28:05] 89	0.49724	0.69746
[101900 22163 2022/05/13-14:30:53] 90	0.48693	0.71002
[101900 22163 2022/05/13-14:33:39] 91	0.48163	0.71384
[101900 22163 2022/05/13-14:36:24] 92	0.48131	0.71464
[101900 22163 2022/05/13-14:39:10] 93	0.48016	0.71630
[101900 22163 2022/05/13-14:41:56] 94	0.47791	0.71796
[101900 22163 2022/05/13-14:44:41] 95	0.47976	0.71708
[101900 22163 2022/05/13-14:47:26] 96	0.47770	0.71682
[101900 22163 2022/05/13-14:50:11] 97	0.47635	0.72092
[101900 22163 2022/05/13-14:52:57] 98	0.47702	0.71794
[101900 22163 2022/05/13-14:55:42] 99	0.47589	0.71746
[101900 22163 2022/05/13-14:58:28] 100	0.47594	0.71938
[101900 22163 2022/05/13-15:01:13] 101	0.47481	0.72030
[101900 22163 2022/05/13-15:03:58] 102	0.47616	0.72012
[101900 22163 2022/05/13-15:06:44] 103	0.47485	0.72104
[101900 22163 2022/05/13-15:09:30] 104	0.47366	0.72048
[101900 22163 2022/05/13-15:12:16] 105	0.47417	0.72178
[101900 22163 2022/05/13-15:15:02] 106	0.47273	0.72204
[101900 22163 2022/05/13-15:17:47] 107	0.47401	0.72106
[101900 22163 2022/05/13-15:20:30] 108	0.47226	0.72348
[101900 22163 2022/05/13-15:23:14] 109	0.47320	0.72370
[101900 22163 2022/05/13-15:25:59] 110	0.47278	0.72326
[101900 22163 2022/05/13-15:28:45] 111	0.47244	0.72240
[101900 22163 2022/05/13-15:31:30] 112	0.47173	0.72740
[101900 22163 2022/05/13-15:34:14] 113	0.47154	0.72568
[101900 22163 2022/05/13-15:37:00] 114	0.47279	0.72254
[101900 22163 2022/05/13-15:39:45] 115	0.47011	0.72868
[101900 22163 2022/05/13-15:42:30] 116	0.47111	0.72382
